Gcompile                                ,1              ,1719804        ,1719804        ,1719804.0      ,            1173,            1172
GEAcompile                              ,1              ,1718916        ,1718916        ,1718916.0      ,            1172,            1171
kwsmusts                                ,1              ,34220          ,34220          ,34220.0        ,               6,               6
EGexecute                               ,100            ,2191           ,1827910        ,352353.1       ,               0,               0
prepend_default_options                 ,1              ,666            ,666            ,666.0          ,               0,               0
get_nondigit_option                     ,3              ,222            ,10986          ,3829.0         ,               0,               0
grep_command_line_arg                   ,1              ,86804042       ,86804042       ,86804042.0     ,            1870,            1870
grepfile                                ,54             ,88760          ,86802759       ,3098828.2      ,               7,               7
grepdesc                                ,54             ,29974          ,85785329       ,3000218.0      ,               3,               3
skipped_file                            ,56             ,161            ,1519           ,300.8          ,               0,               0
grepdirent                              ,57             ,357            ,16220855       ,1415346.6      ,               0,               0
is_device_mode                          ,100            ,133            ,938            ,345.0          ,               0,               0
print_filename                          ,1              ,73052          ,73052          ,73052.0        ,               2,               2
pr_sgr_start_if                         ,1              ,882            ,882            ,882.0          ,               0,               0
pr_sgr_end_if                           ,1              ,1141           ,1141           ,1141.0         ,               0,               0
grep                                    ,53             ,13377          ,16130093       ,1403813.7      ,               4,               4
reset                                   ,53             ,329            ,23380          ,887.4          ,               0,               0
fillbuf                                 ,100            ,1435           ,1084706        ,62657.9        ,               0,               0
usable_st_size                          ,92             ,84             ,1001           ,174.5          ,               0,               0
grepbuf                                 ,100            ,4221           ,2037189        ,357110.2       ,               2,               2
do_execute                              ,100            ,3353           ,2002889        ,356121.4       ,               1,               1
prtext                                  ,1              ,1862           ,1862           ,1862.0         ,               0,               0
setmatcher                              ,1              ,324            ,324            ,324.0          ,               0,               0
kwsalloc                                ,1              ,28226          ,28226          ,28226.0        ,               0,               0
kwsincr                                 ,1              ,636            ,636            ,636.0          ,               0,               0
kwsprep                                 ,1              ,1158           ,1158           ,1158.0         ,               0,               0
kwsexec                                 ,100            ,672            ,1826076        ,95806.7        ,               1,               1
bmexec                                  ,100            ,238            ,1824557        ,92994.5        ,               0,               0
dfasyntax                               ,1              ,47298          ,47298          ,47298.0        ,             165,             165
char_context                            ,100            ,42             ,141            ,51.2           ,               0,               0
setbit                                  ,95             ,42             ,1477           ,89.3           ,               0,               0
using_utf8                              ,9              ,39             ,3942           ,528.1          ,               0,               0
dfaparse                                ,1              ,646788         ,646788         ,646788.0       ,             305,             304
regexp                                  ,1              ,640146         ,640146         ,640146.0       ,             303,             302
branch                                  ,1              ,639621         ,639621         ,639621.0       ,             302,             301
closure                                 ,17             ,1197           ,541815         ,36942.2        ,               4,               4
addtok_mb                               ,100            ,60             ,2313           ,153.7          ,               0,               0
addtok                                  ,100            ,140            ,363708         ,3982.6         ,               0,               0
addtok_wc                               ,9              ,381            ,7542           ,1357.7         ,               1,               1
lex                                     ,17             ,147            ,5475           ,573.2          ,               0,               0
equal                                   ,10             ,42             ,420            ,122.7          ,               0,               0
clrbit                                  ,1              ,264            ,264            ,264.0          ,               0,               0
zeroset                                 ,72             ,70             ,1442           ,126.5          ,               0,               0
charclass_index                         ,5              ,666            ,2034           ,1250.4         ,               1,               1
copyset                                 ,100            ,39             ,1309           ,135.4          ,               0,               0
atom                                    ,17             ,987            ,541476         ,36659.5        ,               3,               3
add_utf8_anychar                        ,8              ,456            ,539799         ,73902.4        ,               0,               0
dfaanalyze                              ,1              ,388451         ,388451         ,388451.0       ,             303,             303
alloc_position_set                      ,100            ,117            ,6195           ,505.3          ,               0,               0
copy                                    ,100            ,45             ,3354           ,207.1          ,               0,               0
insert                                  ,100            ,84             ,1876           ,183.5          ,               0,               0
state_separate_contexts                 ,81             ,105            ,1372           ,208.4          ,               0,               0
epsclosure                              ,67             ,201            ,5565           ,475.9          ,               0,               0
merge                                   ,65             ,48             ,486            ,77.6           ,               0,               0
tstbit                                  ,100            ,77             ,924            ,112.8          ,               0,               0
dfaexec                                 ,64             ,588            ,1179052        ,30716.2        ,               0,               0
build_state_zero                        ,1              ,72653          ,72653          ,72653.0        ,              17,              17
build_state                             ,19             ,13923          ,452599         ,97546.8        ,               9,               9
state_index                             ,81             ,119            ,255234         ,4575.9         ,               0,               0
dfastate                                ,19             ,10906          ,449092         ,92878.9        ,               8,               8
charclass_context                       ,61             ,189            ,123067         ,2690.5         ,               0,               0
dfacomp                                 ,1              ,1560075        ,1560075        ,1560075.0      ,             997,             996
dfainit                                 ,1              ,852            ,852            ,852.0          ,               0,               0
dfaoptimize                             ,1              ,3430           ,3430           ,3430.0         ,               2,               2
free_mbdata                             ,1              ,868            ,868            ,868.0          ,               0,               0
dfamust                                 ,1              ,517348         ,517348         ,517348.0       ,             382,             382
inboth                                  ,24             ,111            ,363            ,131.9          ,               0,               0
addlists                                ,40             ,33             ,3018           ,374.3          ,               0,               0
enlist                                  ,21             ,612            ,3852           ,1477.3         ,               2,               2
icpyalloc                               ,25             ,345            ,3447           ,588.1          ,               1,               1
icatalloc                               ,78             ,45             ,3174           ,182.3          ,               0,               0
